Name,LR,accuracy,mF1Score,f1Score,auc,precision,recall,loss
AUD+TEXT+VID_Lrs,0.0001,0.7922427035330262,0.7800943956515825,0.7289955051788157,0.7778190977979171,0.7549011255775157,0.7075113605987704,0.4608704567565957
VID+TEXT+AUD_Res_1_4_1,0.0001,0.7820916538658473,0.7672938120561186,0.7101423919250693,0.7640482014929392,0.7598518755735435,0.6753541833734296,0.488392324006828
AUD+VID+TEXT_baseline,0.0001,0.7821044546850999,0.7638797111082707,0.699629860335874,0.759190820545155,0.7726307708849662,0.6472600908847902,0.4636733559154981
VID+TEXT+AUD_C_2_3_2,0.0001,0.7765360983102918,0.7651557547362353,0.7138546052367778,0.763596726879292,0.7293674067867617,0.7005346164127239,0.587431462829477
AUD+TEXT+VID_C_2_3_2
AUD+TEXT+VID_Res_3_4_1
AUD+TEXT+VID_Res_1_1_1

