Name,LR,accuracy,mF1Score,f1Score,auc,precision,recall,loss
Aud_Res_3,0.0001,0.7138334186721285,0.7039575534190817,0.650712518729677,0.705660611500092,0.6378948609146629,0.6657310879443998,0.5818684800602222
AUD_2_C_nX_nS,0.0001,0.7109959037378392,0.7014334777429129,0.6489375742293879,0.7041357884877905,0.6311037564298664,0.6704089815557337,0.5931241034118567
AUD_baseline,0.0001,0.7128520225294419,0.700418548796778,0.6396325837125568,0.7005960517808801,0.6396383626368635,0.6404170008019245,0.5898008694114041
Aud_Res_2,0.0001,0.7110044376173409,0.6986376726115621,0.6377198021721349,0.6989950137523244,0.6354934158541847,0.6402566158781074,0.5841878258779118
AUD_Lrs,0.0001,0.7082223928998123,0.6977336419458074,0.6421025428533844,0.699080670100706,0.6320592740592741,0.6541566426089283,0.5941017322185036
Aud_Res_1,0.0001,0.707305000853388,0.6964777477376185,0.6400085143843892,0.6982762073878462,0.6282818077209449,0.654156642608928,0.5941243809295771
AUD_3_C_nX_nS,0.0001,0.7054488820617852,0.6931742285338095,0.6320622433451883,0.6935925092800526,0.6291345327201763,0.6356054530874098,0.599336755006137
Aud_Res_1,0.0001,0.7008747226489163,0.692972917754288,0.6450632997342767,0.697615318847834,0.6140372313590959,0.6819834268912055,0.5962875093193383
AUD_3_C_nX,0.0001,0.6916495989076635,0.684726583837176,0.6401280689732818,0.6919195570249398,0.5970023556937745,0.693504410585405,0.6120862144987663
Aud_Res_4,0.0001,0.6925499231950846,0.6840256783942577,0.6337138333528736,0.6887201917210426,0.6027367923951117,0.6703822507350976,0.6213969205239259
AUD_Xavier,0.0001,0.6740954087728281,0.6626981016026041,0.6029357562764937,0.6662782284450778,0.5828282979540841,0.628575247260091,0.6064325492502907
AUD_2_C,0.0001,0.6740954087728281,0.6626981016026041,0.6029357562764937,0.6662782284450778,0.5828282979540841,0.628575247260091,0.6064325492502907
