Name,LR,accuracy,mF1Score,f1Score,auc,precision,recall,loss
VIT+LSTM+FCL,0.001,0.7774961597542243,0.7664743609407993,0.7184635326176564,0.76760777519992,0.7305412882791954,0.7190323442929698,0.4840350263938499
BERT+3FCL+Scheduler,0.01,0.7636712749615975,0.7484076496562697,0.6899837586951036,0.7477444284991451,0.7257938380585653,0.6704976649841974,0.517318214103516
VIT+LSTM+FCL,0.001,0.7589904420549581,0.7441020490008,0.6931082954220131,0.7498580723703615,0.7279970430596538,0.7036621224271585,0.5211190889022175
BERT+3FCL,0.001,0.7433222392899812,0.729209821996528,0.6784469024496291,0.7347181125505216,0.6971647866115068,0.6936758023177194,0.5320347836632476
VIT+LSTM+FCL+Scheduler,0.01,0.7211725550435227,0.7078405649254551,0.6463884214706348,0.7074575243696105,0.6554280024056811,0.6404229759265375,0.7181138189004985
VIT+LSTM+FCL,0.001,0.7202338282983445,0.6961451426244581,0.6181097106447143,0.6982905316582118,0.6875342825302163,0.5929874050662768,0.555456616454695
MFCC+3FCL,0.001,0.6842421915002561,0.6653771593334368,0.5949728532783629,0.6696571876356894,0.6089481676246382,0.6002421497869396,0.7513171942486536
