Name,LR,accuracy,mF1Score,f1Score,auc,precision,recall,loss
x_ALL_possible,0.0001,0.7820959208055983,0.7717733553042901,0.7247048847411566,0.7724300968635157,0.728863606524264,0.7259288960171077,0.4931193395574196
Text_No_Lrs,0.0001,0.7691500256016386,0.7548118439137348,0.696602940173257,0.7527191538808428,0.7275772819554017,0.6727078321304464,0.5177318711261697
Text_baseline,0.0001,0.7691500256016386,0.7548118439137348,0.696602940173257,0.7527191538808428,0.7275772819554017,0.6727078321304464,0.5177318711261697
Text_Lrs_p2,0.0001,0.7691500256016386,0.7548118439137348,0.696602940173257,0.7527191538808428,0.7275772819554017,0.6727078321304464,0.5177318711261697
Text_baseline_to_delete,0.0001,0.7691500256016386,0.7548118439137348,0.696602940173257,0.7527191538808428,0.7275772819554017,0.6727078321304464,0.5177318711261697
U1_Text_Lrs,0.0001,0.7691500256016386,0.7548118439137348,0.696602940173257,0.7527191538808428,0.7275772819554017,0.6727078321304464,0.5177318711261697
Text_Lrs_p2,0.0001,0.7691500256016386,0.7548118439137348,0.696602940173257,0.7527191538808428,0.7275772819554017,0.6727078321304464,0.5177318711261697
Text_Lrs_p3,0.0001,0.7691500256016386,0.7548118439137348,0.696602940173257,0.7527191538808428,0.7275772819554017,0.6727078321304464,0.5177318711261697
Text_Lrs,0.0001,0.7691500256016386,0.7548118439137348,0.696602940173257,0.7527191538808428,0.7275772819554017,0.6727078321304464,0.5177318711261697
Text_No_Lrs,0.0001,0.7691500256016386,0.7548118439137348,0.696602940173257,0.7527191538808428,0.7275772819554017,0.6727078321304464,0.5177318711261697
U1_Text_baseline,0.0001,0.7691500256016386,0.7548118439137348,0.696602940173257,0.7527191538808428,0.7275772819554017,0.6727078321304464,0.5177318711261697
Text_Xavier,0.0001,0.7442396313364055,0.7313447275550395,0.6734511177895051,0.7312107868828426,0.6820928022583432,0.66797647687784,0.5318909141472693
U1_Text_Xavier,0.0001,0.7442396313364055,0.7313447275550395,0.6734511177895051,0.7312107868828426,0.6820928022583432,0.66797647687784,0.5318909141472693
Text_Xavier,0.0001,0.7442396313364055,0.7313447275550395,0.6734511177895051,0.7312107868828426,0.6820928022583432,0.66797647687784,0.5318909141472693
Text_Res_1,0.0001,0.7423707117255505,0.7278257739715308,0.6664905915194349,0.7272842349530829,0.6852314519687743,0.6539695268644747,0.5367087751306514
Text_Res_2,0.0001,0.7423707117255505,0.7278257739715308,0.6664905915194349,0.7272842349530829,0.6852314519687743,0.6539695268644747,0.5367087751306514
U1_Text_Res_4,0.0001,0.7386755419013483,0.7263114954049923,0.6695451407344827,0.7265852797153569,0.6751008547976072,0.6680032076984762,0.5500230383559652
U1_Text_Res_2,0.0001,0.7414618535586277,0.7252059673601146,0.6597028538218904,0.723432344104614,0.6912658581763533,0.6355787222667736,0.5494164536549261
U1_Text_Res_3,0.0001,0.7340672469704728,0.7238053123900459,0.6718436772271474,0.7260275253679883,0.6607528728581361,0.6866880513231757,0.5720599096572976
Text_3_C,0.0001,0.7248591909882233,0.7146586432412024,0.6611565408408648,0.7164166291132383,0.6487495813978164,0.6751937984496124,0.5563330979625161
U1_Text_3_C,0.0001,0.7248591909882233,0.7146586432412024,0.6611565408408648,0.7164166291132383,0.6487495813978164,0.6751937984496124,0.5563330979625161
U1_Text_3_C,0.0001,0.7248591909882233,0.7146586432412024,0.6611565408408648,0.7164166291132383,0.6487495813978164,0.6751937984496124,0.5563330979625161
U1_Text_Res_5,0.0001,0.7285458269329237,0.7133982417053331,0.649465472459941,0.7135190756504198,0.6656258722778139,0.640203154236835,0.5727259820466726
Text_4_C,0.0001,0.7183990442054957,0.7046578610744005,0.642386567869397,0.7051259856695802,0.6488656418246237,0.6403635391606521,0.5663193903872331
U1_Text_4_C,0.0001,0.7183990442054957,0.7046578610744005,0.642386567869397,0.7051259856695802,0.6488656418246237,0.6403635391606521,0.5663193903872331
Text_2_C,0.0001,0.7230457415941287,0.7027292665430409,0.6280612137519231,0.7018094897709484,0.6748087742858233,0.5983694199411922,0.5592362849342881
Text_2_C,0.0001,0.7230457415941287,0.7027292665430409,0.6280612137519231,0.7018094897709484,0.6748087742858233,0.5983694199411922,0.5592362849342881
Text_3_C,0.0001,0.7230457415941287,0.7027292665430409,0.6280612137519231,0.7018094897709484,0.6748087742858233,0.5983694199411922,0.5592362849342881
Text_7_C,0.0001,0.7054659498207886,0.6938978743236162,0.6348811371436096,0.6956170134217601,0.6238740656505009,0.6473937449879711,0.574530028560337
x_Audio_3_Res,0.0001,0.7045229561358595,0.6883110299093599,0.6194157417491649,0.6883499486652092,0.6354458874458875,0.6099705960973002,0.5980825382697946
Text_5_C,0.0001,0.6962493599590374,0.6863266968507503,0.6328174060391144,0.6898234431651427,0.6123638349448967,0.6587543437583534,0.5813957559653448
x_Audio_baseline,0.0001,0.6897636115378051,0.6792488048838623,0.6246730645628609,0.6821710260820921,0.6112016688114426,0.6449879711307137,0.6076125743527891
