Name,LR,accuracy,mF1Score,f1Score,auc,precision,recall,loss
AUD+TEXT_Lrs,0.0001,0.784831029185868,0.7708980443106147,0.7148298078448387,0.7673051110490584,0.753794702671045,0.681903234429297,0.4763977308203324
AUD+TEXT_Xavier,0.0001,0.7848608977641235,0.7701888009497703,0.7125880711503566,0.7658831491135586,0.7609371492704826,0.672788024592355,0.4991021796717622
Aud+Text_Res_1_1,0.0001,0.7811742618194232,0.7676784499011622,0.7135570121719684,0.7661575128125078,0.7456510344645938,0.6934776797647688,0.4839515978819193
AUD_2C+TEXT+3C,0.0001,0.7747055811571941,0.7632152984613908,0.7119674781814063,0.7629105908201999,0.7227466586571989,0.7052927024859664,0.5028164807359276
Aud+Text_Res_2_2,0.0001,0.7738095238095238,0.763038059458872,0.7136484171983385,0.763240225945283,0.7196301717776549,0.7120823309275595,0.4891167731054368
AUD+TEXT_baseline,0.0001,0.764494794333504,0.7549060921640145,0.7094706811578864,0.7577987177054252,0.7038884710398553,0.725955626837744,0.4997235172024601
Aud+Text_Res_3_3,0.0001,0.7608337600273085,0.7500290763216725,0.6993918926828553,0.7509427236838367,0.7000328705707244,0.7028601978080727,0.524835873116078
Aud+Text_Res_3_4,0.0001,0.7636328725038403,0.7463207924395123,0.6818028884573646,0.7434179034968716,0.7342845353295984,0.6448275862068965,0.479264380914458
