Name,LR,accuracy,mF1Score,f1Score,auc,precision,recall,loss
Audio_Lrs,0.0001,0.7073007339136371,0.6966675981006938,0.6405570883079299,0.6979178794030316,0.6312353040218209,0.6518310612135793,0.5940830468938179
Audio_2L,0.0001,0.6999359959037379,0.6878158364281483,0.6278233735857787,0.6896889163469722,0.6186113851721387,0.6401764234161988,0.5988633880976992
Audio_2L,0.0001,0.6999359959037379,0.6878158364281483,0.6278233735857787,0.6896889163469722,0.6186113851721387,0.6401764234161988,0.5988633880976992
Audio_baseline,0.0001,0.6897636115378051,0.6792488048838623,0.6246730645628609,0.6821710260820921,0.6112016688114426,0.6449879711307137,0.6076125743527891
Audio_3L,0.0001,0.6796338965693804,0.669786846935074,0.6144601470774544,0.6740228550870885,0.586987531825099,0.6471531676022454,0.607490774196129
Audio_Xavier,0.0001,0.6750170677590033,0.6635633913306708,0.6036120215469998,0.6670474592143085,0.5839638290896152,0.628575247260091,0.6063610468917504
Audio_Xavier,1e-05,0.6094128690902885,0.596935470175634,0.5316548421382712,0.6016080134699477,0.5076774930685347,0.5637797380379578,0.6636498763142521
